neuron_id,spike_array_horizontal_line.pkl,spike_array_image_135.pkl,spike_array_image_45.pkl,spike_array_vertical_line.pkl
776,0.0,0.0,5.0,0.0
782,0.0,0.0,0.0,5.0
783,0.0,0.0,0.0,10.0
784,0.0,0.0,0.0,5.0
786,0.0,0.0,0.0,5.0
790,0.0,5.0,0.0,0.0
792,0.0,5.0,0.0,0.0
793,0.0,15.0,0.0,0.0
796,0.0,5.0,0.0,0.0
803,0.0,0.0,5.0,0.0
804,0.0,0.0,5.0,0.0
807,0.0,0.0,5.0,0.0
808,0.0,0.0,10.0,0.0
814,0.0,0.0,0.0,5.0
816,0.0,0.0,0.0,5.0
817,0.0,0.0,0.0,5.0
818,0.0,0.0,0.0,10.0
822,0.0,5.0,0.0,0.0
826,0.0,5.0,0.0,0.0
828,0.0,5.0,0.0,0.0
838,0.0,0.0,10.0,0.0
839,0.0,0.0,10.0,0.0
840,0.0,0.0,10.0,0.0
846,0.0,0.0,0.0,10.0
847,0.0,0.0,0.0,5.0
848,0.0,0.0,0.0,5.0
851,0.0,0.0,0.0,5.0
856,0.0,5.0,0.0,0.0
864,0.0,0.0,5.0,0.0
867,0.0,0.0,5.0,0.0
869,0.0,0.0,5.0,0.0
870,0.0,0.0,5.0,0.0
871,0.0,0.0,15.0,0.0
879,0.0,0.0,0.0,5.0
880,0.0,0.0,0.0,5.0
881,0.0,0.0,0.0,5.0
888,0.0,5.0,0.0,0.0
889,0.0,5.0,0.0,0.0
891,0.0,5.0,0.0,0.0
893,0.0,5.0,0.0,0.0
894,0.0,5.0,0.0,0.0
896,0.0,0.0,5.0,0.0
897,0.0,0.0,5.0,0.0
898,0.0,0.0,10.0,0.0
900,0.0,0.0,5.0,0.0
901,0.0,0.0,5.0,0.0
903,0.0,0.0,5.0,0.0
910,0.0,0.0,0.0,5.0
911,0.0,0.0,0.0,5.0
912,0.0,0.0,0.0,5.0
914,0.0,0.0,0.0,5.0
921,0.0,5.0,0.0,0.0
922,0.0,5.0,0.0,0.0
926,0.0,15.0,0.0,0.0
931,0.0,0.0,5.0,0.0
932,0.0,0.0,5.0,0.0
933,0.0,0.0,5.0,0.0
942,0.0,0.0,0.0,5.0
944,0.0,0.0,0.0,5.0
945,0.0,0.0,0.0,5.0
946,0.0,0.0,0.0,10.0
953,0.0,5.0,0.0,0.0
954,0.0,5.0,0.0,0.0
957,0.0,5.0,0.0,0.0
958,0.0,5.0,0.0,0.0
